# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 g1f3 f8e8 e1g1 e5e4 f3d4 b8c6	11733	0.07333125
c2c4 e7e5 b1c3 g8f6 g2g3 f8c5 f1g2 c7c6	38596	0.24122500
c2c4 e7e5 b1c3 g8f6 g2g3 g7g6	57400	0.35875000
c2c4 e7e5 e2e3 g8f6 f2f4 e5f4 g1f3	0	0.00000000
c2c4 e7e5 g1f3	1064541	0.02275345
c2c4 e7e5 g1f3 e5e4	198460	0.16986377
c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6	973834	0.33925765
c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6 d2d3	798544	0.27819132
c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6 d2d3 f8e7 e1g1 e8g8	440292	0.15338593
c2c4 e7e5 g2g3 h7h5	0	0.00000000
c2c4 e7e6	14673211	0.10290637
c2c4 e7e6 b1c3 g8f6 e2e4	1322408	0.25626071
c2c4 e7e6 b1c3 g8f6 e2e4 b8c6	1084375	0.21013386
c2c4 e7e6 b1c3 g8f6 e2e4 c7c5	1084375	0.21013386
c2c4 e7e6 b1c3 g8f6 e2e4 c7c5 e4e5 f6g8	729133	0.14129386
c2c4 e7e6 b1c3 g8f6 e2e4 d7d5 e4e5	889187	0.17230967
c2c4 e7e6 b1c3 g8f6 g1f3 b7b6	585648	0.11348885
c2c4 e7e6 b1c3 g8f6 g1f3 b7b6 e2e4 c8b7 f1d3	322908	0.06257421
c2c4 e7e6 b1c3 g8f6 g1f3 f8b4 g2g4	480231	0.09306079
c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 d4d5	760713	0.27045304
c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 e4f5 g8f6	623785	0.22177161
c2c4 e7e6 d2d4 c7c5 g1f3 c5d4 f3d4 g8f6	467285	0.10268511
c2c4 e7e6 g1f3	925614	0.06314080
c2c4 e7e6 g1f3 c7c5 b1c3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 f1d1 a7a6 b2b3 b8d7	11967	0.01816267
c2c4 e7e6 g1f3 d7d5	1247326	0.49923773
c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 f8e7 e2e3 e8g8	90238	0.03834550
c2c4 e7e6 g1f3 d7d5 b2b3 g8f6 c1b2 f8e7 e2e3 e8g8 d2d4	73996	0.03144367
c2c4 e7e6 g1f3 d7d5 g2g3 b7b6 f1g2 c8b7 e1g1	278880	0.11850653
c2c4 e7e6 g1f3 d7d5 g2g3 c7c5	505797	0.21493204
c2c4 e7e6 g1f3 d7d5 g2g3 c7c6	505797	0.21493204
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6	505797	0.21493204
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 c7c5 b2b3 b8c6 e1g1 f8e7	153766	0.06534092
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8d6	340098	0.14452035
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7	340098	0.14452035
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3	278880	0.11850653
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3 b7b6	228682	0.09717553
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 b2b3 c7c5	228682	0.09717553
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1	278880	0.11850653
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 c7c5 c4d5 f6d5 b1c3 b8c6	103392	0.04393512
c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3	187519	0.07968383
c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 d2d4 b8c6 g2g3 c5d4 f3d4 d8b6	119600	0.07161638
c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 d2d4 c5d4 f3d4 b8c6	177870	0.10650841
c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7	119600	0.07161638
c2c4 e7e6 g1f3 g8f6 b2b3 d7d5 c1b2 c7c5 e2e3	49799	0.02981960
c2c4 e7e6 g1f3 g8f6 g2g3 a7a6	516141	0.30906480
c2c4 e7e6 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7	347053	0.20781505
c2c4 e7e6 g1f3 g8f6 g2g3 d7d5 f1g2 c7c6	347053	0.20781505
